rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,date,year,month,week
1,spotify:track:4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,1,25,2,5502139,2021-10-14,2021,10,2
2,spotify:track:798ahLNEcoFER7Vywg1FMT,Calibre 50,A La Antigüita,"Andaluz Music, LLC",1,1,22,4195104,2021-10-14,2021,10,2
3,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,2,3,19,4065191,2021-10-14,2021,10,2
4,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,1,2,12,3885338,2021-10-14,2021,10,2
5,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,1,4,21,3748646,2021-10-14,2021,10,2
6,spotify:track:6HIIuuUIEzH1meVdGbMXyf,Grupo Firme,Ya Supérame (En Vivo),Music VIP Entertainment Inc,5,5,9,3235273,2021-10-14,2021,10,2
7,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,3,6,11,3177407,2021-10-14,2021,10,2
8,spotify:track:4H3t8C59tXjKf1R2iKtc5M,Marca MP,Ya Acabo,Marca MP,7,7,29,3094478,2021-10-14,2021,10,2
9,spotify:track:64JzNzcoSZOh3RWeoghVfk,"Matisse, Carin Leon",Como Lo Hice Yo,Sony Music México,9,12,5,2984138,2021-10-14,2021,10,2
10,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,7,8,14,2830323,2021-10-14,2021,10,2
11,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,"Gera MX, Christian Nodal",Botella Tras Botella,Virgin Music México,1,9,25,2783607,2021-10-14,2021,10,2
12,spotify:track:1xO7tp4J5Wj0NeKrzIpd1V,"Christian Nodal, Banda MS de Sergio Lizárraga",La Sinvergüenza,"Producciones Ladon, S.A de C.V.",5,10,3,2675753,2021-10-14,2021,10,2
13,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",3,11,20,2640350,2021-10-14,2021,10,2
14,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,12,15,8,2474401,2021-10-14,2021,10,2
15,spotify:track:05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,3,14,16,2453145,2021-10-14,2021,10,2
16,spotify:track:3HgvO4B5LLmdPOT2d8cSZd,"LAGOS, Danny Ocean",Mónaco,WM Mexico,12,17,16,2382785,2021-10-14,2021,10,2
17,spotify:track:4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,7,16,14,2346419,2021-10-14,2021,10,2
18,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,7,13,14,2321785,2021-10-14,2021,10,2
19,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,18,50,2282060,2021-10-14,2021,10,2
20,spotify:track:7E9GeFGfjXw9LAI4ay6rsw,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,17,19,50,2281992,2021-10-14,2021,10,2
21,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,17,21,9,2198417,2021-10-14,2021,10,2
